bias,Age of vehicle,engine capacity (cc),Fuel consumption (metric combined),Noise level (dB(A)),fuel type,gearbox,PM emissions (g/km),Nox emissions (g/km),HC+Nox emissions(g/km),HC emissions (g/km),Euro standard,CO2 emission (g/km),CO emissions (g/km)
1,0.597885841,-1.384983608,-0.886621056,-0.009915057,0.782047997,0.360397637,,0.01,0.029,0.019,3,138,0.4
1,0.374457116,-0.158322152,-0.842005272,0.04104745,-1.277345062,-0.047794669,0.02,0.184,0.215,NA,4,159,0.196
1,-0.072400334,-0.158322152,-0.842005272,0.04104745,-1.277345062,-0.047794669,0.02,0.184,0.215,NA,4,159,0.196
1,0.151028391,-0.158322152,-0.842005272,0.04104745,-1.277345062,0.768589942,0.02,0.228,0.267,NA,4,158,0.266
1,-0.295829059,0.207451048,-0.842005272,-0.009915057,-1.277345062,0.768589942,0.02,0.24,0.24,NA,4,156,0.02
1,-0.295829059,-0.695160386,-0.842005272,-0.009915057,-1.277345062,-1.68056389,0.02,0.167,0.21,,4,155,0.332
1,0.597885841,0.142084735,-0.842005272,0.142972463,-1.277345062,0.360397637,0.03,0.378,,0.05,3,161,0.49
1,0.374457116,0.142084735,-0.842005272,0.142972463,-1.277345062,0.360397637,0.03,0.378,,0.05,3,161,0.49
1,0.151028391,0.142084735,-0.842005272,0.142972463,-1.277345062,0.360397637,0.03,0.378,,0.05,3,161,0.49
1,-0.072400334,0.142084735,-0.842005272,0.142972463,-1.277345062,0.360397637,0.03,0.378,,0.05,3,161,0.49
1,-0.74268651,1.231059701,-0.842005272,-0.060877563,-1.277345062,0.088269433,0.03,0.139,0.167,NA,5,156,0.35
1,0.430314297,-0.120771291,-0.842005272,-0.009915057,-1.277345062,0.360397637,0.03,0.45,0.48,NA,3,156,0.24
1,0.597885841,-0.258457781,-0.842005272,-0.009915057,-1.277345062,-1.408435687,0.03,0.455,0.487,NA,3,159,0.184
1,0.821314566,0.142084735,-0.842005272,0.04104745,-1.277345062,0.768589942,0.04,0.393,,0.047,3,159,0.373
1,0.821314566,0.142084735,-0.842005272,0.04104745,-1.277345062,0.360397637,0.04,0.36,,0.05,3,157,0.02
1,1.044743291,0.142084735,-0.842005272,0.04104745,-1.277345062,0.360397637,0.04,0.36,,0.05,3,157,0.02
1,0.597885841,0.142084735,-0.842005272,0.142972463,-1.277345062,0.768589942,0.04,0.454,,0.059,3,161,0.305
1,0.374457116,0.142084735,-0.842005272,0.142972463,-1.277345062,0.768589942,0.04,0.454,,0.059,3,161,0.305
1,0.151028391,0.142084735,-0.842005272,0.142972463,-1.277345062,0.768589942,0.04,0.454,,0.059,3,161,0.305
1,-0.072400334,0.142084735,-0.842005272,0.142972463,-1.277345062,0.768589942,0.04,0.454,,0.059,3,161,0.305
1,1.044743291,-0.258457781,-0.842005272,0.092009956,-1.277345062,0.360397637,0.04,0.353,0.418,,3,159,0.327
1,-1.412972685,-0.992785728,-0.842005272,-0.009915057,0.782047997,0.360397637,N/A,0.019,,0.035,5,139,0.159
1,-1.412972685,-0.96775182,-0.842005272,-0.009915057,0.782047997,0.360397637,N/A,0.019,,0.035,5,139,0.159
1,-0.966115235,-1.170804624,-0.842005272,-0.009915057,0.782047997,0.360397637,N/A,0.04,,0.04,4,139,0.565
1,-0.519257785,-1.170804624,-0.842005272,-0.009915057,0.782047997,0.360397637,N/A,0.04,,0.04,4,139,0.566
1,-0.74268651,-1.170804624,-0.842005272,-0.009915057,0.782047997,0.360397637,N/A,0.04,,0.04,4,139,0.566
1,-0.295829059,-0.158322152,-0.842005272,-0.009915057,-1.277345062,-0.047794669,NA,0.196,0.212,NA,4,156,0.055
1,-0.295829059,-1.384983608,-0.842005272,0.010469946,0.782047997,-1.68056389,,0.011,0.043,0.032,4,139,0.392
1,0.430314297,-0.120771291,-0.797389488,-0.009915057,-1.277345062,0.360397637,0.02,0.21,0.22,NA,4,158,0.14
